ID,Name,Organizational Group,XWP Code,Initiator,Work Plan,Related to,Sequence,ECC / RC,Destructive,Phase,Gate,Remark,Duration,Duration factor,Duration calculated,Duration Total,Costs,Total Costs,Validity Status,Manager,Performed by,Note,App. No.
[FP4],Lubrication test ,TR-020-Testrigs,S020160133032704,PFG-040_Lubrication,BB-010_New gear set (gears/FD/ratio),,,FCT-48V,,SD4,G4,,126,1.5,189,189,,,,,MAGNA,,1
[FP4s],Oilmanagement,TR-020-Testrigs,M0202,,,,,,,,,,,,,,,,,,MAGNA,,
[FP4s],Oilmanagement,TR-020-Testrigs,S020250133032904,PFG-040_Lubrication,BB-010_New gear set (gears/FD/ratio),,,FCT-48V,,SD3,G3,,240,1.5,360,360,,,,,MAGNA,,1
[FP4s],Oilmanagement,TR-020-Testrigs,S020260133032904,PFG-040_Lubrication,BB-010_New gear set (gears/FD/ratio),,,FCT-48V,,SD4,G4,,240,1.5,360,360,,,,,MAGNA,,1
[FP9],Vent function test,TR-020-Testrigs,M0203,,,,,,,,,,,,,,,,,,MAGNA,,
[FP9],Vent function test,TR-020-Testrigs,S020350133032704,PFG-040_Lubrication,BB-010_New gear set (gears/FD/ratio),,,FCT-48V,,SD3,G3,,24,1.5,36,36,,,,,MAGNA,,1
[FP9],Vent function test,TR-020-Testrigs,S020360133032704,PFG-040_Lubrication,BB-010_New gear set (gears/FD/ratio),,,FCT-48V,,SD4,G4,,24,1.5,36,36,,,,,MAGNA,,1
[FF9],Vent function vehicle,TR-020-Testrigs,M0205,,,,,,,,,,,,,,,,,,MAGNA,,
[FF9],Vent function vehicle,TR-020-Testrigs,S020550128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,"reason of test:
?nderung ?lverdr?ngung / Abspritzen von Zahnr?dern",8,1.5,12,12,,,,,MAGNA,,1
[FF9],Vent function vehicle,TR-020-Testrigs,S020550133032704,PFG-040_Lubrication,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,"reason of test:
?nderung ?lverdr?ngung / Abspritzen von Zahnr?dern",8,1.5,12,12,,,,,MAGNA,,1
[FF9],Vent function vehicle,TR-020-Testrigs,S020560128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,8,1.5,12,12,,,,,MAGNA,,1
[FF9],Vent function vehicle,TR-020-Testrigs,S020560133032704,PFG-040_Lubrication,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,8,1.5,12,12,,,,,MAGNA,,1
[FF9_Track],Testtrack for - Vent function vehicle,TR-020-Testrigs,M1961,,,,,,,,,,,,,,,,,,MAGNA,,
[FF9_Track],Testtrack for - Vent function vehicle,TR-020-Testrigs,R1961501xxxxx708,,,[FF9],,BOX,,SD3,G3,,2,1,2,2,,,,,MAGNA,,1
[FF9_Track],Testtrack for - Vent function vehicle,TR-020-Testrigs,R1961601xxxxx708,,,[FF9],,BOX,,SD4,G4,,2,1,2,2,,,,,MAGNA,,1
[NVH_L],NVH gear whine rig measurement,TR-020-Testrigs,M0161,,,,,,,,,,,,,,,,,,MAGNA,,
[NVH_L],NVH gear whine rig measurement,TR-020-Testrigs,S016150135032704,PFG-060_NVH,BB-010_New gear set (gears/FD/ratio),,,3M-NVH-48V,,SD3,G3,"test procedure:
FÅr Ubach: best of best / worst of worst aus DOE (3 mal da BOB/WOW nicht unbedingt in 2 TM m?glich); fÅr K?ln: 2 nominal TMs",14,1.5,21,63,,,,,MAGNA,,1
[NVH_L],NVH gear whine rig measurement,TR-020-Testrigs,S016160135032704,PFG-060_NVH,BB-010_New gear set (gears/FD/ratio),,,3M-NVH-48V,,SD4,G4,"test procedure:
FÅr Ubach: best of best / worst of worst aus DOE; fÅr K?ln: 2 nominal TMs",14,1.5,21,42,,,,,MAGNA,,1
[RoR],Gear Rattle Measurement on rig (DCT/HDT),TR-020-Testrigs,M0168,,,,,,,,,,,,,,,,,,MAGNA,,
[RoR],Gear Rattle Measurement on rig (DCT/HDT),TR-020-Testrigs,S016850135032904,PFG-060_NVH,BB-010_New gear set (gears/FD/ratio),,,3M-NVH-48V,,SD3,G3,"required part maturity:
3 TMs
",45,1.5,67.5,202.5,,,,,MAGNA,,1
[RoR],Gear Rattle Measurement on rig (DCT/HDT),TR-020-Testrigs,S016860135032904,PFG-060_NVH,BB-010_New gear set (gears/FD/ratio),,,3M-NVH-48V,,SD4,G4,"required part maturity:
3 TMs
",45,1.5,67.5,202.5,,,,,MAGNA,,1
[Diff_not_Rad],Emergency Wheel Test,TR-020-Testrigs,M0157,,,,,,,,,,,,,,,,,,MAGNA,,
[Diff_not_Rad],Emergency Wheel Test,TR-020-Testrigs,S015750103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD3,G3,,8,1.5,12,12,,,,,MAGNA,,1
[Diff_not_Rad],Emergency Wheel Test,TR-020-Testrigs,S015760103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD4,G4,,8,1.5,12,12,,,,,MAGNA,,1
[DP10],Durability of the Differential,TR-020-Testrigs,M0109,,,,,,,,,,,,,,,,,,MAGNA,,
[DP10],Durability of the Differential,TR-020-Testrigs,S010950103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD3,G3,"reason of test:
Final Drive Kombinationen / Andere lasten durch ?bersetzungsverh?ltnis
",8,1.5,12,12,,,,,MAGNA,,1
[DP10],Durability of the Differential,TR-020-Testrigs,S010960103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD4,G4,,8,1.5,12,12,,,,,MAGNA,,1
[DP101],Park lock system durability ,TR-020-Testrigs,M0111,,,,,,,,,,,,,,,,,,MAGNA,,
[DP101],Park lock system durability ,TR-020-Testrigs,S011150115032904,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,2M-PSP-48V,,SD3,G3,,340,1.5,510,510,,,,,MAGNA,,1
[DP101],Park lock system durability ,TR-020-Testrigs,S011160115032904,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,2M-PSP-48V,,SD4,G4,,340,1.5,510,510,,,,,MAGNA,,1
[DP102],Park lock ratcheting test ,TR-020-Testrigs,M0112,,,,,,,,,,,,,,,,,,MAGNA,,
[DP102],Park lock ratcheting test ,TR-020-Testrigs,S011250115032904,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD3,G3,,10,1.5,15,15,,,,,MAGNA,,1
[DP102],Park lock ratcheting test ,TR-020-Testrigs,S011260115032904,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD4,G4,,10,1.5,15,15,,,,,MAGNA,,1
[DP11],Differential Seizure Test,TR-020-Testrigs,M0110,,,,,,,,,,,,,,,,,,MAGNA,,
[DP11],Differential Seizure Test,TR-020-Testrigs,S011050103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD3,G3,,12,1.5,18,18,,,,,MAGNA,,1
[DP11],Differential Seizure Test,TR-020-Testrigs,S011060103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD4,G4,,12,1.5,18,18,,,,,MAGNA,,1
[DP4],Shift durability test,TR-020-Testrigs,M0107,,,,,,,,,,,,,,,,,,MAGNA,,
[DP4],Shift durability test,TR-020-Testrigs,S010750110032904,BB-030_Shifting System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD3,G3,"reason of test:
StufensprÅnge / Spreizung",1300,1.5,1950,1950,,,,,MAGNA,,1
[DP4],Shift durability test,TR-020-Testrigs,S010760110032904,BB-030_Shifting System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD4,G4,,1300,1.5,1950,1950,,,,,MAGNA,,1
[ExMDA_gearset],Modal analysis of mech components,TR-020-Testrigs,M1286,,,,,,,,,,,,,,,,,,MAGNA,,
[ExMDA_gearset],Modal analysis of mech components,TR-020-Testrigs,S128650135032704,PFG-060_NVH,BB-010_New gear set (gears/FD/ratio),,,extern,,SD3,G3,,10,1.5,15,15,,,,,MAGNA,,1
[ExMDA_gearset],Modal analysis of mech components,TR-020-Testrigs,S128660135032704,PFG-060_NVH,BB-010_New gear set (gears/FD/ratio),,,extern,,SD4,G4,,10,1.5,15,15,,,,,MAGNA,,1
[FF1_DOE],NVH vehicle gear whine test,TR-020-Testrigs,M0165,,,,,,,,,,,,,,,,,,MAGNA,,
[FF1_DOE],NVH vehicle gear whine test,TR-020-Testrigs,S016550135032704,PFG-060_NVH,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,"reason of test:
dient als FF1
test procedure:
best of best / worst of worst aus DOE",20,1.5,30,90,,,,,MAGNA,,1
[FF1_DOE],NVH vehicle gear whine test,TR-020-Testrigs,S016560135032704,PFG-060_NVH,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,"reason of test:
dient als FF1
",20,1.5,30,60,,,,,MAGNA,,1
[FF101],Park lock system - Drop in speed on level road ,TR-020-Testrigs,M0125,,,,,,,,,,,,,,,,,,MAGNA,,
[FF101],Park lock system - Drop in speed on level road ,TR-020-Testrigs,S012550115032704,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,16,1.5,24,24,,,,,MAGNA,,1
[FF101],Park lock system - Drop in speed on level road ,TR-020-Testrigs,S012550128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,16,1.5,24,24,,,,,MAGNA,,1
[FF101],Park lock system - Drop in speed on level road ,TR-020-Testrigs,S012560115032704,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,16,1.5,24,24,,,,,MAGNA,,1
[FF101],Park lock system - Drop in speed on level road ,TR-020-Testrigs,S012560128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,16,1.5,24,24,,,,,MAGNA,,1
[FF103],Park lock system - Engage park lock at maximum load ,TR-020-Testrigs,M0127,,,,,,,,,,,,,,,,,,MAGNA,,
[FF103],Park lock system - Engage park lock at maximum load ,TR-020-Testrigs,S012750115032704,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,16,1.5,24,24,,,,,MAGNA,,1
[FF103],Park lock system - Engage park lock at maximum load ,TR-020-Testrigs,S012750128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,16,1.5,24,24,,,,,MAGNA,,1
[FF103],Park lock system - Engage park lock at maximum load ,TR-020-Testrigs,S012760115032704,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,16,1.5,24,24,,,,,MAGNA,,1
[FF103],Park lock system - Engage park lock at maximum load ,TR-020-Testrigs,S012760128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,16,1.5,24,24,,,,,MAGNA,,1
[FF105],"Park lock system ? Reliable engagement and function at 32% (17,7?) grade",TR-020-Testrigs,M0129,,,,,,,,,,,,,,,,,,MAGNA,,
[FF105],"Park lock system ? Reliable engagement and function at 32% (17,7?) grade",TR-020-Testrigs,S012950115032704,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,16,1.5,24,24,,,,,MAGNA,,1
[FF105],"Park lock system ? Reliable engagement and function at 32% (17,7?) grade",TR-020-Testrigs,S012950128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,16,1.5,24,24,,,,,MAGNA,,1
[FF105],"Park lock system ? Reliable engagement and function at 32% (17,7?) grade",TR-020-Testrigs,S012960115032704,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,16,1.5,24,24,,,,,MAGNA,,1
[FF105],"Park lock system ? Reliable engagement and function at 32% (17,7?) grade",TR-020-Testrigs,S012960128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,16,1.5,24,24,,,,,MAGNA,,1
[FF107],Park lock system - Reliable function at 10% grade according to FMVSS 114 (Federal Motor Vehicle Safety Standard - rollway) ,TR-020-Testrigs,M0131,,,,,,,,,,,,,,,,,,MAGNA,,
[FF107],Park lock system - Reliable function at 10% grade according to FMVSS 114 (Federal Motor Vehicle Safety Standard - rollway) ,TR-020-Testrigs,S013150115032704,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,16,1.5,24,24,,,,,MAGNA,,1
[FF107],Park lock system - Reliable function at 10% grade according to FMVSS 114 (Federal Motor Vehicle Safety Standard - rollway) ,TR-020-Testrigs,S013150128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,16,1.5,24,24,,,,,MAGNA,,1
[FF107],Park lock system - Reliable function at 10% grade according to FMVSS 114 (Federal Motor Vehicle Safety Standard - rollway) ,TR-020-Testrigs,S013160115032704,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,16,1.5,24,24,,,,,MAGNA,,1
[FF107],Park lock system - Reliable function at 10% grade according to FMVSS 114 (Federal Motor Vehicle Safety Standard - rollway) ,TR-020-Testrigs,S013160128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,16,1.5,24,24,,,,,MAGNA,,1
[FF4],Driveability / Shift Rating Evaluation / Shift Noise,TR-020-Testrigs,M0026,,,,,,,,,,,,,,,,,,MAGNA,,
[FF4],Driveability / Shift Rating Evaluation / Shift Noise,TR-020-Testrigs,S002650127032704,PFG-010_Driving,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,20,1.5,30,30,,,,,MAGNA,,1
[FF4],Driveability / Shift Rating Evaluation / Shift Noise,TR-020-Testrigs,S002660127032704,PFG-010_Driving,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,"sample size:
1x if test AP phase is performed",20,1.5,30,err,,,,,MAGNA,,1
[FF4_Track],Testtrack for - Driveability / Shift Rating Evaluation / Shift Noise,TR-020-Testrigs,M1909,,,,,,,,,,,,,,,,,,MAGNA,,
[FF4_Track],Testtrack for - Driveability / Shift Rating Evaluation / Shift Noise,TR-020-Testrigs,R1909501xxxxx708,,,[FF4],,BOX,,SD3,G3,,10,1,10,10,,,,,MAGNA,,1
[FF4_Track],Testtrack for - Driveability / Shift Rating Evaluation / Shift Noise,TR-020-Testrigs,R1909601xxxxx708,,,[FF4],,BOX,,SD4,G4,,10,1,10,0,,,,,MAGNA,,1
[FF4s],"FF4 short (AP, post sys test, fleet, comparison)",TR-020-Testrigs,M0027,,,,,,,,,,,,,,,,,,MAGNA,,
[FF4s],"FF4 short (AP, post sys test, fleet, comparison)",TR-020-Testrigs,S002750127032704,PFG-010_Driving,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,20,1.5,30,30,,,,,MAGNA,,1
[FF4s],"FF4 short (AP, post sys test, fleet, comparison)",TR-020-Testrigs,S002760127032704,PFG-010_Driving,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,"reason of test:
for shortterm unplanned evaluation of SW- and HW-improvements",20,1.5,30,90,,,,,MAGNA,,1
[FF4s_Track],"Testtrack for - FF4 short (AP, post sys test, fleet, comparison)",TR-020-Testrigs,M1910,,,,,,,,,,,,,,,,,,MAGNA,,
[FF4s_Track],"Testtrack for - FF4 short (AP, post sys test, fleet, comparison)",TR-020-Testrigs,R1910501xxxxx708,,,[FF4s],,BOX,,SD3,G3,,8,1,8,8,,,,,MAGNA,,1
[FF4s_Track],"Testtrack for - FF4 short (AP, post sys test, fleet, comparison)",TR-020-Testrigs,R1910601xxxxx708,,,[FF4s],,BOX,,SD4,G4,,8,1,8,24,,,,,MAGNA,,1
[FP10],Drag Torque,TR-020-Testrigs,M0193,,,,,,,,,,,,,,,,,,MAGNA,,
[FP10],Drag Torque,TR-020-Testrigs,S019350129032904,PFG-020_Efficiency,BB-010_New gear set (gears/FD/ratio),,,FCT-EOL-48V,,SD3,G3,,10,1.5,15,15,,,,,MAGNA,,1
[FP10],Drag Torque,TR-020-Testrigs,S019360129032904,PFG-020_Efficiency,BB-010_New gear set (gears/FD/ratio),,,FCT-EOL-48V,,SD4,G4,,10,1.5,15,15,,,,,MAGNA,,1
[FP101],Park lock system - Drop in speed ,TR-020-Testrigs,M0117,,,,,,,,,,,,,,,,,,MAGNA,,
[FP101],Park lock system - Drop in speed ,TR-020-Testrigs,S011750115032904,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD3,G3,,8,1.5,12,12,,,,,MAGNA,,1
[FP101],Park lock system - Drop in speed ,TR-020-Testrigs,S011760115032904,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD4,G4,,8,1.5,12,12,,,,,MAGNA,,1
[FP103],Park Lock System - Borderline function,TR-020-Testrigs,M0119,,,,,,,,,,,,,,,,,,MAGNA,,
[FP103],Park Lock System - Borderline function,TR-020-Testrigs,S011950115032904,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD3,G3,,8,1.5,12,12,,,,,MAGNA,,1
[FP103],Park Lock System - Borderline function,TR-020-Testrigs,S011960115032904,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD4,G4,,8,1.5,12,12,,,,,MAGNA,,1
[FP104],Park lock system - Abuse drop in at high speed 150km/h,TR-020-Testrigs,M0120,,,,,,,,,,,,,,,,,,MAGNA,,
[FP104],Park lock system - Abuse drop in at high speed 150km/h,TR-020-Testrigs,S012050115032904,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD3,G3,,105,1.5,157.5,157.5,,,,,MAGNA,,1
[FP104],Park lock system - Abuse drop in at high speed 150km/h,TR-020-Testrigs,S012060115032904,BB-060_Park System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD4,G4,,105,1.5,157.5,157.5,,,,,MAGNA,,1
[FP3],Towing test ,TR-020-Testrigs,M0007,,,,,,,,,,,,,,,,,,MAGNA,,
[FP3],Towing test ,TR-020-Testrigs,S000750103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD3,G3,,80,1.5,120,120,,,,,MAGNA,,1
[FP3],Towing test ,TR-020-Testrigs,S000760103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD4,G4,,80,1.5,120,120,,,,,MAGNA,,1
[FP5_a],Cold shiftability (engage test) ,TR-020-Testrigs,M0114,,,,,,,,,,,,,,,,,,MAGNA,,
[FP5_a],Cold shiftability (engage test) ,TR-020-Testrigs,S011450110032904,BB-030_Shifting System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD3,G3,"test procedure:
before and after 1st DP4",50,1.5,75,150,,,,,MAGNA,,1
[FP5_a],Cold shiftability (engage test) ,TR-020-Testrigs,S011460110032904,BB-030_Shifting System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD4,G4,,50,1.5,75,150,,,,,MAGNA,,1
[FP5_b],Cold shiftability (engage test) ,TR-020-Testrigs,M0115,,,,,,,,,,,,,,,,,,MAGNA,,
[FP5_b],Cold shiftability (engage test) ,TR-020-Testrigs,S011550110032904,BB-030_Shifting System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD3,G3,"test procedure:
before and after 1st DP4",50,1.5,75,150,,,,,MAGNA,,1
[FP5_b],Cold shiftability (engage test) ,TR-020-Testrigs,S011560110032904,BB-030_Shifting System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-DSP-48V,,SD4,G4,,50,1.5,75,150,,,,,MAGNA,,1
[FP6],Gear contact pattern test (toothing) ,TR-020-Testrigs,M0008,,,,,,,,,,,,,,,,,,MAGNA,,
[FP6],Gear contact pattern test (toothing) ,TR-020-Testrigs,S000850103032704,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD3,G3,,7,1.5,10.5,10.5,,,,,MAGNA,,1
[FP6],Gear contact pattern test (toothing) ,TR-020-Testrigs,S000860103032704,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD4,G4,,7,1.5,10.5,10.5,,,,,MAGNA,,1
[GCUP],Getrag Cup,TR-020-Testrigs,M0030,,,,,,,,,,,,,,,,,,MAGNA,,
[GCUP],Getrag Cup,TR-020-Testrigs,S003050127032704,PFG-010_Driving,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,10,1.5,15,15,,,,,MAGNA,,1
[GCUP],Getrag Cup,TR-020-Testrigs,S003060127032704,PFG-010_Driving,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,10,1.5,15,15,,,,,MAGNA,,1
[GRI_L_a],Grind noise rig measurement (laboratory),TR-020-Testrigs,M0158,,,,,,,,,,,,,,,,,,MAGNA,,
[GRI_L_a],Grind noise rig measurement (laboratory),TR-020-Testrigs,S015850110032704,BB-030_Shifting System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-EOL-48V,,SD3,G3,"test procedure:
before and after 1st DP4",3,1.5,4.5,9,,,,,MAGNA,,1
[GRI_L_a],Grind noise rig measurement (laboratory),TR-020-Testrigs,S015860110032704,BB-030_Shifting System Verification,BB-010_New gear set (gears/FD/ratio),,,FCT-EOL-48V,,SD4,G4,,3,1.5,4.5,9,,,,,MAGNA,,1
